codice,data_rilievo,regione,provincia,comune,specie,cod_specie,sesso,lunghezza_cm,tipo_lunghezza,condizioni,tag,tag_rilascio,interazione,segnalato_da,rilevatore,struttura_rilevatore,lng,lat
CSC210611CTt1,2021-06-11,Abruzzo,Teramo,Silvi,Tursiops truncatus,9,F,114.0,TOT,Morto,,,ND,Guardia Costiera,Sergio Guccione,Centro Studi Cetacei,14.0995,42.5745
CSC210508CSc1,2021-05-08,Abruzzo,Teramo,Giulianova,Stenella coeruleoalba,8,F,203.0,TOT,Morto,,,ND,Guardia Costiera,Claudia Borgatti,Centro Studi Cetacei,13.97613,42.74671
CSC210422CDd1,2021-04-22,Sicilia,Trapani,Castelvetrano,Delphinus delphis,3,ND,130.0,TOT,Morto,,,Si,Guardia Costiera,Non disponibile,Guardia Costiera,12.793,37.581
CSC210414CEr1,2021-04-14,Lazio,Latina,Ponza,Eschrichtius robustus,13,ND,1000.0,TOT,Vivo,,,ND,Guardia Costiera,Non disponibile,Guardia Costiera,12.96972,40.92166
CSC210321CTt1,2021-03-21,Marche,Pesaro e Urbino,Pesaro,Tursiops truncatus,9,ND,150.0,TOT,Morto,,,No,Guardia Costiera,Fondazione cetacea,Centro di Recupero,12.923,43.912
CSC210317CSc1,2021-03-17,Calabria,Reggio di Calabria,Palmi,Stenella coeruleoalba,8,ND,141.0,TOT,Morto,,,ND,Guardia Costiera,Non disponibile,Guardia Costiera,15.865,38.399
CSC210216CTt1,2021-02-16,Molise,Campobasso,Campomarino,Tursiops truncatus,9,M,287.0,TOT,Morto,,,ND,Privato cittadino,Ludovica Di Renzo,CSC/IZSAM,15.10345,41.93399
CSC210206CDd1,2021-02-06,Sicilia,Trapani,Campobello di Mazara,Delphinus delphis,3,ND,100.0,TOT,Morto,,,Si,Guardia Costiera,Non disponibile,Guardia Costiera,12.698,37.564
CSC201229CTt1,2020-12-29,Lazio,Roma,Santa Marinella,Tursiops truncatus,9,ND,150.0,TOT,Morto,,,ND,Guardia Costiera,Non disponibile,Guardia Costiera,11.94166,42.02472
CSC201212CTt1,2020-12-12,Sicilia,Trapani,Mazara del Vallo,Tursiops truncatus,9,ND,200.0,TOT,Morto,,,ND,Guardia Costiera,Non disponibile,Guardia Costiera,12.638,37.593
CSC201130CSc1,2020-11-30,Sicilia,Catania,Catania,Stenella coeruleoalba,8,M,200.0,TOT,Morto,,,No,Guardia Costiera,Dario Garofalo,Associazione,15.08528,37.47194
CSC201122CTt1,2020-11-22,Emilia Romagna,Rimini,Rimini,Tursiops truncatus,9,ND,160.0,TOT,Morto,,,No,Guardia Costiera,Fondazione cetacea,Centro di Recupero,12.6275,44.0276
CSC201121CTt4,2020-11-21,Marche,Fermo,Porto San Giorgio,Tursiops truncatus,9,ND,160.0,TOT,Morto,,,No,Guardia Costiera,Fondazione cetacea,Centro di Recupero,13.7991,43.1825
