codice,data_rilievo,regione,provincia,comune,specie,cod_specie,sesso,lunghezza_cm,tipo_lunghezza,condizioni,tag,tag_rilascio,interazione,segnalato_da,rilevatore,struttura_rilevatore,lng,lat
CSC210604TCc1,2021-06-04,Abruzzo,Teramo,Pineto,Caretta caretta,1,F,66.5,CCL,Morto,,,ND,Privato cittadino,Claudia Borgatti,Centro Studi Cetacei,14.04987,42.63637
CSC210602TCc2,2021-06-02,Emilia Romagna,Ferrara,Comacchio,Caretta caretta,1,ND,34.0,TOT,Morto,,,Si,Guardia Costiera,Non disponibile,Guardia Costiera,12.273,44.802
CSC210602TCc1,2021-06-02,Abruzzo,Chieti,Ortona,Caretta caretta,1,F,77.5,CCL,Vivo,,CSCIT248,ND,Privato cittadino,Anna Angrilli,Centro Studi Cetacei,14.32942,42.40051
CSC210601TCc2,2021-06-01,Emilia Romagna,Ferrara,Comacchio,Caretta caretta,1,ND,58.0,TOT,Morto,,,Si,Guardia Costiera,Non disponibile,Guardia Costiera,12.242,44.716
CSC210601TCc1,2021-06-01,Emilia Romagna,Ferrara,Comacchio,Caretta caretta,1,ND,61.0,TOT,Morto,,,ND,Guardia Costiera,Non disponibile,Guardia Costiera,12.243,44.679
CSC210531TCc2,2021-05-31,Emilia Romagna,Ferrara,Comacchio,Caretta caretta,1,ND,54.0,TOT,Morto,,,Si,Guardia Costiera,Non disponibile,Guardia Costiera,12.241,44.716
CSC210531TCc1,2021-05-31,Emilia Romagna,Ferrara,Comacchio,Caretta caretta,1,ND,85.0,TOT,Morto,,,Si,Guardia Costiera,Non disponibile,Guardia Costiera,12.246,44.745
CSC210530TCc1,2021-05-30,Emilia Romagna,Ferrara,Comacchio,Caretta caretta,1,ND,51.0,TOT,Morto,,,ND,Guardia Costiera,Non disponibile,Guardia Costiera,12.241,44.687
CSC210529TCc1,2021-05-29,Sicilia,Messina,Lipari,Caretta caretta,1,ND,50.0,TOT,Vivo,,,ND,Privato cittadino,Non disponibile,Guardia Costiera,15.075,38.62
CSC210526TCc1,2021-05-26,Abruzzo,Chieti,Vasto,Caretta caretta,1,ND,77.0,CCL,Morto,,,ND,Guardia Costiera,Pietro Di Taranto,CSC/ASL,14.68609,42.17985
CSC210525TCc1,2021-05-25,Abruzzo,Chieti,San Salvo,Caretta caretta,1,ND,60.0,CCL,Morto,,,ND,Guardia Costiera,Fabrizio Di Fonzo,ASL,14.77819,42.07143
CSC210524TCc1,2021-05-24,Emilia Romagna,Ferrara,Comacchio,Caretta caretta,1,ND,60.0,TOT,Morto,,,No,Guardia Costiera,Non disponibile,Guardia Costiera,12.24,44.708
CSC210522TCc1,2021-05-22,Abruzzo,Chieti,Vasto,Caretta caretta,1,ND,70.0,CCL,Morto,,,ND,Privato cittadino,Fabrizio Di Fonzo,ASL,14.719,42.13334
CSC210520TCc1,2021-05-20,Abruzzo,Teramo,Roseto degli Abruzzi,Caretta caretta,1,F,71.0,CCL,Morto,,,ND,Guardia Costiera,Chiara Profico,Centro Studi Cetacei,14.02516,42.6687
CSC210516TCc1,2021-05-16,Molise,Campobasso,Campomarino,Caretta caretta,1,ND,64.0,CCL,Morto,,,ND,Guardia Costiera,Angela D'Ambrosio,Centro Studi Cetacei,15.08363,41.94101
CSC210514TCc1,2021-05-14,Lazio,Viterbo,Tarquinia,Caretta caretta,1,ND,80.0,TOT,Morto,,,Si,Guardia Costiera,Non disponibile,Guardia Costiera,11.72444,42.18416
CSC210511TCc2,2021-05-11,Abruzzo,Teramo,Pineto,Caretta caretta,1,ND,28.0,CCL,Morto,,,ND,Guardia Costiera,Anna Angrilli,Centro Studi Cetacei,14.08691,42.5882
CSC210511TCc1,2021-05-11,Abruzzo,Teramo,Pineto,Caretta caretta,1,ND,33.3,CCL,Morto,,,ND,Guardia Costiera,Anna Angrilli,Centro Studi Cetacei,14.07086,42.60655
CSC210505TCc1,2021-05-05,Marche,Ancona,Ancona,Caretta caretta,1,ND,75.0,TOT,Morto,,,Si,Guardia Costiera,Non disponibile,Guardia Costiera,13.497,43.626
CSC210504TCc1,2021-05-04,Molise,Campobasso,Termoli,Caretta caretta,1,ND,45.0,CCL,Morto,,,Si,Privato cittadino,Angela D'Ambrosio,Centro Studi Cetacei,14.92827,42.01541
CSC210502TCc1,2021-05-02,Abruzzo,Teramo,Giulianova,Caretta caretta,1,ND,40.5,CCL,Vivo,,CSCIT247,ND,Guardia Costiera,Chiara Profico,Centro Studi Cetacei,14.185,42.84116
CSC210430TCc1,2021-04-30,Puglia,Foggia,Isole Tremiti,Caretta caretta,1,ND,32.6,CCL,Vivo,,CSCIT246,No,Privato cittadino,Alice Glave,Centro Studi Cetacei,15.50138,42.12166
CSC210429TCc1,2021-04-29,Emilia Romagna,Rimini,Rimini,Caretta caretta,1,F,75.0,CCL,Vivo,,,Si,Motopeschereccio,Fondazione cetacea,Centro di Recupero,12.60369,44.11406
CSC210428TCc2,2021-04-28,Emilia Romagna,Forli'-Cesena,Cesenatico,Caretta caretta,1,M,71.0,CCL,Vivo,,,Si,Motopeschereccio,Fondazione cetacea,Centro di Recupero,12.47909,44.28499
CSC210428TCc1,2021-04-28,Emilia Romagna,Forli'-Cesena,Cesenatico,Caretta caretta,1,M,68.0,CCL,Vivo,,,Si,Motopeschereccio,Fondazione cetacea,Centro di Recupero,12.47909,44.28499
CSC210427TCc1,2021-04-27,Marche,Pesaro e Urbino,Fano,Caretta caretta,1,ND,60.0,TOT,Morto,,,ND,Guardia Costiera,Non disponibile,Guardia Costiera,13.055,43.829
CSC210426TCc2,2021-04-26,Emilia Romagna,Rimini,Rimini,Caretta caretta,1,ND,40.0,CCL,Vivo,,,Si,Motopeschereccio,Fondazione cetacea,Centro di Recupero,13.09277,44.13611
CSC210426TCc3,2021-04-26,Emilia Romagna,Rimini,Rimini,Caretta caretta,1,F,72.0,CCL,Vivo,,,Si,Motopeschereccio,Fondazione cetacea,Centro di Recupero,13.02722,44.27472
CSC210426TCc1,2021-04-26,Emilia Romagna,Rimini,Rimini,Caretta caretta,1,ND,37.0,CCL,Vivo,,,Si,Motopeschereccio,Fondazione cetacea,Centro di Recupero,13.02722,44.27472
CSC210423TCc3,2021-04-23,Marche,Ancona,Ancona,Caretta caretta,1,ND,35.0,CCL,Vivo,,,Si,Guardia Costiera,Fondazione cetacea,Centro di Recupero,12.0,43.788
CSC210423TCc1,2021-04-23,Emilia Romagna,Forli'-Cesena,Cesenatico,Caretta caretta,1,F,77.0,CCL,Vivo,,,Si,Motopeschereccio,Fondazione cetacea,Centro di Recupero,12.54055,44.29333
CSC210423TCc2,2021-04-23,Marche,Ancona,Ancona,Caretta caretta,1,ND,61.0,CCL,Vivo,,,Si,Guardia Costiera,Fondazione cetacea,Centro di Recupero,13.65,43.6
CSC210421TCc2,2021-04-21,Emilia Romagna,Forli'-Cesena,Cesenatico,Caretta caretta,1,F,63.0,CCL,Vivo,,,Si,Motopeschereccio,Fondazione cetacea,Centro di Recupero,12.5855,44.51666
CSC210421TCc1,2021-04-21,Molise,Campobasso,Termoli,Caretta caretta,1,M,55.2,CCL,Morto,,,ND,Guardia Costiera,Gianluca Barbuto,Centro Studi Cetacei,14.90555,42.02015
CSC210418TCc1,2021-04-18,Emilia Romagna,Forli'-Cesena,Cesenatico,Caretta caretta,1,F,74.0,CCL,Vivo,,,Si,Guardia Costiera,Fondazione cetacea,Centro di Recupero,12.29278,44.21243
CSC210414TCc1,2021-04-14,Emilia Romagna,Forli'-Cesena,Cesenatico,Caretta caretta,1,M,63.0,CCL,Vivo,,,Si,Motopeschereccio,Fondazione cetacea,Centro di Recupero,12.57061,44.4043
CSC210408TCc1,2021-04-08,Emilia Romagna,Forli'-Cesena,Cesenatico,Caretta caretta,1,F,69.0,CCL,Vivo,,,Si,Motopeschereccio,Fondazione cetacea,Centro di Recupero,12.71666,44.39305
CSC210407TCc1,2021-04-07,Molise,Campobasso,Termoli,Caretta caretta,1,ND,70.3,CCL,Morto,,,ND,Guardia Costiera,Gianluca Barbuto,Centro Studi Cetacei,15.01413,41.98564
CSC210407TCc2,2021-04-07,Lazio,Roma,Roma,Caretta caretta,1,M,63.0,CCL,Morto,,,ND,Guardia Costiera,Valerio Manfrini,Ambito Rete Tarta Lazio,12.34138,41.70204
CSC210402TCc1,2021-04-02,Molise,Campobasso,Termoli,Caretta caretta,1,ND,64.0,CCL,Morto,,,ND,Privato cittadino,Gianluca Barbuto,Centro Studi Cetacei,14.92039,42.01684
CSC210401TCc1,2021-04-01,Abruzzo,Teramo,Tortoreto,Caretta caretta,1,ND,22.5,CCL,Vivo,,CSCIT245,ND,Guardia Costiera,Chiara Profico,Centro Studi Cetacei,13.94307,42.80685
CSC210327TCc2,2021-03-27,Sicilia,Messina,Lipari,Caretta caretta,1,ND,68.5,CCL,Vivo,,,Si,Guardia Costiera,Non disponibile,Associazione,14.416,38.34069
CSC210327TCc1,2021-03-27,Sardegna,Olbia-Tempio,La Maddalena,Caretta caretta,1,ND,37.0,CCL,Vivo,,,ND,Guardia Costiera,Non disponibile,Guardia Costiera,9.449,41.191
CSC210326TCc5,2021-03-26,Emilia Romagna,Forli'-Cesena,Cesenatico,Caretta caretta,1,F,73.0,CCL,Vivo,,,Si,Motopeschereccio,Fondazione cetacea,Centro di Recupero,12.6157,44.37583
CSC210326TCc4,2021-03-26,Puglia,Foggia,Cagnano Varano,Caretta caretta,1,ND,10.0,CCL,Morto,,,No,Privato cittadino,Marianna Marangi,Centro Studi Cetacei,15.81456,41.92298
CSC210326TCc1,2021-03-26,Puglia,Foggia,Peschici,Caretta caretta,1,ND,30.0,CCL,Morto,,,Si,Privato cittadino,Marianna Marangi,Centro Studi Cetacei,16.00712,41.94685
CSC210325TCc3,2021-03-25,Emilia Romagna,Forli'-Cesena,Cesenatico,Caretta caretta,1,F,64.0,CCL,Vivo,,,Si,Motopeschereccio,Fondazione cetacea,Centro di Recupero,12.64722,44.37666
CSC210325TCc5,2021-03-25,Sardegna,Olbia-Tempio,La Maddalena,Caretta caretta,1,ND,39.0,TOT,Vivo,,,ND,Privato cittadino,Non disponibile,Guardia Costiera,9.437,41.228
CSC210325TCc6,2021-03-25,Marche,Ancona,Numana,Caretta caretta,1,ND,40.0,CCL,Morto,,,ND,Privato cittadino,Non disponibile,Guardia Costiera,13.625,43.513
CSC210325TCc4,2021-03-25,Emilia Romagna,Forli'-Cesena,Cesenatico,Caretta caretta,1,F,70.0,CCL,Vivo,,,Si,Motopeschereccio,Fondazione cetacea,Centro di Recupero,12.64722,44.3766
CSC210325TCc2,2021-03-25,Marche,Ancona,Falconara Marittima,Caretta caretta,1,ND,40.0,TOT,Morto,,,ND,Privato cittadino,Non disponibile,Guardia Costiera,13.36433,43.64575
CSC210325TCc1,2021-03-25,Molise,Campobasso,Campomarino,Caretta caretta,1,ND,20.0,CCL,Vivo,,CSCIT244,ND,Guardia Costiera,Valentina Giuliani,Centro Studi Cetacei,15.06389,41.95349
CSC210324TCc3,2021-03-24,Abruzzo,Chieti,San Salvo,Caretta caretta,1,ND,11.2,CCL,Vivo,,CSCIT241,ND,Guardia Costiera,Anna Angrilli,Centro Studi Cetacei,14.75822,42.0779
CSC210324TCc2,2021-03-24,Abruzzo,Chieti,Francavilla al Mare,Caretta caretta,1,ND,70.0,CCL,Morto,,,No,Guardia Costiera,William Di Nardo,CSC/ASL,14.28136,42.42826
