"codice","data","specie","regione","provincia","comune","sesso","lunghezza (cm)","tag_rilievo","tag_rilascio","condizioni","interazione","segnalatore","rilevatore","struttura","latitudine","longitudine"
"CSC201212CTt1","12/12/2020","Tursiops truncatus","Sicilia","Trapani","Mazara del Vallo","ND","200","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","37.593","12.638"
"CSC201130CSc1","30/11/2020","Stenella coeruleoalba","Sicilia","Catania","Catania","M","200","","","Morto","No","Guardia Costiera","Dario Garofalo","Associazione","37.47194","15.08528"
"CSC201122CTt1","22/11/2020","Tursiops truncatus","Emilia Romagna","Rimini","Rimini","ND","160","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.0276","12.6275"
"CSC201121CTt2","21/11/2020","Tursiops truncatus","Abruzzo","Chieti","Torino di Sangro","F","286","","","Morto","ND","Guardia Costiera","Pietro Di Taranto","CSC/ASL","42.22625","14.55839"
"CSC201121CTt4","21/11/2020","Tursiops truncatus","Marche","Fermo","Porto San Giorgio","ND","160","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.1825","13.7991"
"CSC201121CTt3","21/11/2020","Tursiops truncatus","Emilia Romagna","Ravenna","Ravenna","F","170","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.501","12.284"
"CSC201121CTt1","21/11/2020","Tursiops truncatus","Abruzzo","Pescara","Montesilvano","M","310","","","Morto","ND","Guardia Costiera","Chiara Profico","Centro Studi Cetacei","42.49414","14.18583"
"CSC201115CTt1","15/11/2020","Tursiops truncatus","Marche","Ancona","Ancona","ND","250","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.36","13.28"
"CSC201114CDd1","14/11/2020","Delphinus delphis","Sicilia","Trapani","Mazara del Vallo","F","200","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","37.61","12.61"
"CSC201113CTt1","13/11/2020","Tursiops truncatus","Lazio","Latina","Terracina","ND","150","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","41.28444","13.234"
"CSC201112CTt1","12/11/2020","Tursiops truncatus","Marche","Ancona","Ancona","ND","250","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","43.6115","13.48129"
"CSC201027CTt1","27/10/2020","Tursiops truncatus","Puglia","Foggia","Manfredonia","ND","190","","","Morto","Si","Guardia Costiera","Abbenante Alberto","ASL","41.3738","15.5437"
"CSC201022CBp1","22/10/2020","Balaenoptera physalus","Abruzzo","Chieti","Ortona","ND","110","","","Vivo","ND","Guardia Costiera","Antonio Florio","Guardia Costiera","42.34444","14.44166"
"CSC201015CTt1","15/10/2020","Tursiops truncatus","Lazio","Roma","Civitavecchia","M","85","","","Morto","ND","Privato cittadino","Fredy Uriel Quezada","ASL","42.08861","11.78583"
"CSC201009CTt1","09/10/2020","Tursiops truncatus","Abruzzo","Chieti","Vasto","M","167","","","Morto","ND","Guardia Costiera","Anna Angrilli","Centro Studi Cetacei","42.08582","14.74281"
"CSC201008CSc1","08/10/2020","Stenella coeruleoalba","Lazio","Roma","Anzio","ND","98","","","Morto","ND","Privato cittadino","Valerio Manfrini","Centro Studi Cetacei","41.53339","12.55353"
"CSC200926CTt1","26/09/2020","Tursiops truncatus","Lazio","Roma","Santa Marinella","M","230","","","Morto","ND","Aeronautica Militare","Fabrizio Menzione","ASL","41.99229","12.00404"
"CSC200912CGg1","12/09/2020","Grampus griseus","Lazio","Roma","Fiumicino","ND","130","","","Morto","ND","Privato cittadino","Lino Serra","Guardia Costiera","41.84273","12.19742"
"CSC200817CTt1","17/08/2020","Tursiops truncatus","Abruzzo","Teramo","Silvi","M","213","","","Morto","ND","Guardia Costiera","Daniela Profico","Centro Studi Cetacei","42.56005","14.11285"
"CSC200720CSc1","20/07/2020","Stenella coeruleoalba","Lazio","Roma","Anzio","ND","197","","","Morto","ND","Privato cittadino","Luigi De Gregorio","ASL","41.48689","12.58897"
"CSC200718CTt1","18/07/2020","Tursiops truncatus","Molise","Campobasso","Campomarino","F","115","","","Morto","ND","Privato cittadino","Gianluca Barbuto","Centro Studi Cetacei","41.96654","15.04565"
"CSC200714CTt1","14/07/2020","Tursiops truncatus","Abruzzo","Teramo","Giulianova","M","201","","","Morto","ND","Guardia Costiera","Anna Angrilli","Centro Studi Cetacei","42.78112","13.95562"
"CSC200712CSc1","12/07/2020","Stenella coeruleoalba","Lazio","Latina","Latina","ND","0.0","","","Morto","ND","Privato cittadino","Maria L. Ferdinandi","ASL","41.40532","12.87202"
"CSC200711CSc1","11/07/2020","Stenella coeruleoalba","Lazio","Roma","Nettuno","ND","198","","","Morto","ND","Privato cittadino","Luigi De Gregorio","ASL","41.45401","12.67782"
"CSC200708CSc1","08/07/2020","Stenella coeruleoalba","Lazio","Latina","San Felice Circeo","M","195","","","Morto","ND","Privato cittadino","Benito Guglietta","ASL","41.23423","13.10056"
"CSC200708CTt1","08/07/2020","Tursiops truncatus","Abruzzo","Chieti","Ortona","F","133","","","Morto","Si","Guardia Costiera","William Di Nardo","CSC/ASL","42.3942","14.34209"
"CSC200707CTt2","07/07/2020","Tursiops truncatus","Abruzzo","Chieti","Ortona","F","247","","","Morto","No","Guardia Costiera","William Di Nardo","CSC/ASL","42.31275","14.44065"
"CSC200707CTt1","07/07/2020","Tursiops truncatus","Molise","Campobasso","Petacciato","ND","","","","Morto","ND","Guardia Costiera","Gianluca Barbuto","Centro Studi Cetacei","42.02156","14.89966"
"CSC200702CSc1","02/07/2020","Stenella coeruleoalba","Lazio","Roma","Ardea","ND","198","","","Morto","ND","Privato cittadino","Luigi De Gregorio","ASL","41.53841","12.54854"
"CSC200701CSc1","01/07/2020","Stenella coeruleoalba","Lazio","Roma","Fiumicino","ND","0.0","","","Morto","ND","Guardia Costiera","Lino Serra","Guardia Costiera","41.9202","12.1345"
"CSC200629CSc1","29/06/2020","Stenella coeruleoalba","Lazio","Roma","Fiumicino","ND","167","","","Morto","ND","Privato cittadino","Mario Casale","Guardia Costiera","41.81278","12.21181"
"CSC200628CSc1","28/06/2020","Stenella coeruleoalba","Lazio","Roma","Fiumicino","ND","190","","","Morto","ND","Privato cittadino","Augusto Di Mario","Guardia Costiera","41.81503","12.21047"
"CSC200607CTt1","07/06/2020","Tursiops truncatus","Abruzzo","Chieti","Fossacesia","M","125","","","Morto","No","Guardia Costiera","Gabriella Ruffini","ASL","42.2367","14.54127"
"CSC200528CSc1","28/05/2020","Stenella coeruleoalba","Abruzzo","Teramo","Pineto","F","187","","","Morto","ND","Privato cittadino","Claudia Borgatti","Centro Studi Cetacei","42.61767","14.06233"
"CSC200527CSc1","27/05/2020","Stenella coeruleoalba","Sicilia","Catania","Catania","M","184","","","Morto","ND","Privato cittadino","Stefano Floridia","Associazione","37.44694","15.08694"
"CSC200514CSc2","14/05/2020","Stenella coeruleoalba","Sicilia","Catania","Catania","M","220","","","Morto","ND","Privato cittadino","Alessandra Raffa","Associazione","37.41796","15.09036"
