"codice","data","specie","regione","provincia","comune","sesso","lunghezza (cm)","tag_rilievo","tag_rilascio","condizioni","interazione","segnalatore","rilevatore","struttura","latitudine","longitudine"
"CSC201210TCc1","10/12/2020","Caretta caretta","Molise","Campobasso","Termoli","F","77","","","Morto","Si","Guardia Costiera","Gianluca Barbuto","Centro Studi Cetacei","41.99937","15.01467"
"CSC201210TCc2","10/12/2020","Caretta caretta","Abruzzo","Chieti","Casalbordino","ND","51","","","Morto","Si","Guardia Costiera","Fabrizio Di Fonzo","ASL","42.20418","14.60698"
"CSC201210TCc3","10/12/2020","Caretta caretta","Abruzzo","Pescara","Pescara","ND","67.5","","CSCIT209","Vivo","Si","Motopeschereccio","Chiara Profico","Centro Studi Cetacei","42.52492","14.30291"
"CSC201209TCc2","09/12/2020","Caretta caretta","Abruzzo","Pescara","Pescara","F","73.8","","","Morto","Si","Motopeschereccio","Chiara Profico","Centro Studi Cetacei","42.52161","14.31365"
"CSC201209TCc1","09/12/2020","Caretta caretta","Abruzzo","Chieti","Casalbordino","ND","52","","","Morto","ND","Guardia Costiera","Pietro Di Taranto","CSC/ASL","42.19217","14.64353"
"CSC201209TCc3","09/12/2020","Caretta caretta","Abruzzo","Pescara","Pescara","F","72","","CSCIT208","Vivo","Si","Motopeschereccio","Anna Angrilli","Centro Studi Cetacei","42.5309","14.30416"
"CSC201206TCc1","06/12/2020","Caretta caretta","Molise","Campobasso","Campomarino","ND","68.5","","","Morto","ND","Guardia Costiera","Gianluca Barbuto","Centro Studi Cetacei","41.94683","15.07409"
"CSC201204TCc1","04/12/2020","Caretta caretta","Lazio","Roma","Roma","ND","40","","","Morto","Si","Guardia Costiera","Non disponibile","ASL","41.68055","12.37972"
"CSC201202TCc1","02/12/2020","Caretta caretta","Abruzzo","Chieti","Francavilla al Mare","ND","69","","CSCIT207","Vivo","Si","Guardia Costiera","Valentina Giuliani","Centro Studi Cetacei","42.47645","14.34291"
"CSC201201TCc1","01/12/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","ND","36","","","Vivo","Si","Motopeschereccio","Fondazione cetacea","Centro di Recupero","44.38472","12.60805"
"CSC201130TCc1","30/11/2020","Caretta caretta","Emilia Romagna","Ferrara","Comacchio","ND","56","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.69744","12.24015"
"CSC201127TCc1","27/11/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","F","84","","","Vivo","Si","Motopeschereccio","Fondazione cetacea","Centro di Recupero","44.4525","12.58222"
"CSC201127TCc2","27/11/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","ND","64","","","Vivo","Si","Motopeschereccio","Fondazione cetacea","Centro di Recupero","44.4525","12.58222"
"CSC201126TCc1","26/11/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","ND","61","","","Vivo","Si","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.36978","12.68774"
"CSC201125TCc5","25/11/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","F","77","","","Vivo","Si","Motopeschereccio","Fondazione cetacea","Centro di Recupero","44.24609","12.93394"
"CSC201125TCc2","25/11/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","F","39","","","Vivo","Si","Motopeschereccio","Fondazione cetacea","Centro di Recupero","44.42527","12.60805"
"CSC201125TCc1","25/11/2020","Caretta caretta","Molise","Campobasso","Termoli","ND","49","","","Morto","ND","Guardia Costiera","Gianluca Barbuto","Centro Studi Cetacei","41.99432","15.00144"
"CSC201125TCc4","25/11/2020","Caretta caretta","Emilia Romagna","Rimini","Rimini","ND","40","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.05968","12.59399"
"CSC201125TCc3","25/11/2020","Caretta caretta","Marche","Ancona","Falconara Marittima","ND","45","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.64044","13.38304"
"CSC201124TCc1","24/11/2020","Caretta caretta","Marche","Ancona","Ancona","ND","60","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.575","13.57"
"CSC201124TCc2","24/11/2020","Caretta caretta","Marche","Ascoli Piceno","Massignano","ND","100","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","43.059","13.851"
"CSC201124TCc3","24/11/2020","Caretta caretta","Marche","Ascoli Piceno","Massignano","F","90","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.059","13.851"
"CSC201123TCc8","23/11/2020","Caretta caretta","Abruzzo","Teramo","Silvi","F","76","","CSCIT203","Vivo","Si","Motopeschereccio","Chiara Profico","Centro Studi Cetacei","42.59122","14.2446"
"CSC201123TCc2","23/11/2020","Caretta caretta","Marche","Ascoli Piceno","Cupra Marittima","ND","50","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.02548","13.86132"
"CSC201123TCc4","23/11/2020","Caretta caretta","Marche","Ancona","Falconara Marittima","ND","60","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.643","13.37199"
"CSC201123TCc5","23/11/2020","Caretta caretta","Abruzzo","Pescara","Pescara","M","68.5","","CSCIT206","Vivo","Si","Motopeschereccio","Federica Gioia","Centro Studi Cetacei","42.49798","14.29309"
"CSC201123TCc7","23/11/2020","Caretta caretta","Abruzzo","Teramo","Silvi","ND","59","","CSCIT204","Vivo","Si","Motopeschereccio","Dario D'Onofrio","Centro Studi Cetacei","42.58768","14.25009"
"CSC201123TCc1","23/11/2020","Caretta caretta","Emilia Romagna","Rimini","Rimini","ND","50","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.06","12.3"
"CSC201123TCc6","23/11/2020","Caretta caretta","Abruzzo","Teramo","Silvi","M","65.6","","CSCIT205","Vivo","Si","Motopeschereccio","Anna Angrilli","Centro Studi Cetacei","42.58439","14.25421"
"CSC201123TCc3","23/11/2020","Caretta caretta","Marche","Ancona","Falconara Marittima","ND","50","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.64327","13.37124"
"CSC201122TCc8","22/11/2020","Caretta caretta","Marche","Ancona","Sirolo","ND","40","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.52794","13.62125"
"CSC201122TCc4","22/11/2020","Caretta caretta","Abruzzo","Chieti","Vasto","ND","76","","","Morto","ND","Guardia Costiera","Pietro Di Taranto","CSC/ASL","42.17418","14.70802"
"CSC201122TCc7","22/11/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","ND","50","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.182","12.426"
"CSC201122TCc2","22/11/2020","Caretta caretta","Abruzzo","Chieti","Fossacesia","ND","83","","","Morto","No","Guardia Costiera","William Di Nardo","CSC/ASL","42.24294","14.52572"
